0.52845,0.77752,0.55593,0.54809,0.5493,0.21347,0.35051,0.5055,0.37022,0.16298,0.072199,0.045548,0.61164
0.44651,0.78959,0.7935,0.54654,0.50894,0.37171,0.16724,0.41577,0.24044,0,0.3378,0.18138,0.53417
0.38969,0.85121,0.7623,0.49918,0.59554,0.51671,0.2903,0.34537,0.34699,0.15807,0.21506,0.079906,0.25614
0.48341,0.7382,0.62925,0.50627,0.67736,0.35359,0.49969,0.62589,0.25795,0.093345,0.074976,0.10988,0.24248
0.401,0.76547,0.71582,0.51822,0.54063,0.37925,0.58797,0.55553,0.22004,0.061288,0.11031,0.1265,0.30646
0.48526,0.60735,0.85432,0.66953,0.45914,0.40125,0.34923,0.38181,0.30598,0.11334,0.063174,0.18229,0.38153
0.57907,0.55401,0.66549,0.5951,0.54887,0.45034,0.38227,0.26495,0.046002,0.14619,0.12717,0.26808,0.59916
0.5732,0.80645,0.56957,0.59733,0.592,0.48302,0.3698,0.37949,0.17548,0.027854,0.088265,0.19534,0.40814
0.50957,0.84727,0.74899,0.4903,0.4896,0.461,0.43565,0.41259,0.12501,0.08643,0.15037,0.224,0.32013
0.70226,0.31936,0.50894,0.67406,0.6757,0.5045,0.4534,0.12957,0.27995,0.3275,0.10726,0.25641,0.2652
0.65937,0.54431,0.65752,0.69263,0.48345,0.49697,0.3815,0.21334,0.34239,0.27863,0,0.23273,0.25419
0.60783,0.50073,0.90194,0.51345,0.65082,0.34675,0.32188,0.27054,0.27102,0.25069,0.22753,0.26621,0.15882
0.70169,0.67808,0.60809,0.6514,0.5041,0.49733,0.37389,0.25542,0.33263,0.14078,0.2052,0.21382,0.12784
0.54105,0.6089,0.82677,0.60263,0.41644,0.44633,0.34544,0.46413,0.2395,0.28818,0.29846,0.18138,0.069572
0.58163,0.64664,0.78871,0.46437,0.68419,0.44755,0.39044,0.42216,0.25974,0.1125,0.1235,0.20877,0.15055
0.531,0.64907,0.56113,0.70932,0.73277,0.51076,0.31917,0.18951,0.21825,0.091388,0.22761,0.30855,0.20409
0.56029,0.69034,0.64394,0.62817,0.72773,0.47134,0.33571,0.25483,0.24223,0.022528,0.17646,0.29339,0.21271
0.53853,0.62863,0.7846,0.65359,0.5402,0.50779,0.35958,0.28055,0.24083,0.048076,0.22165,0.20574,0.25644
0.39675,0.70101,0.71757,0.69675,0.73825,0.39693,0.30658,0.29635,0.27894,0.14548,0.15665,0.26526,0.1765
0.45205,0.61975,0.81665,0.7582,0.59897,0.24431,0.17748,0.23863,0.32573,0.21192,0.23268,0.32016,0.29214
0.50306,0.39002,0.93709,0.67659,0.50318,0.37131,0.21298,0.29688,0.23299,0.23463,0.35079,0.37521,0.19206
0.54047,0.62769,0.44411,0.63911,0.67604,0.63422,0.29514,0.28929,0.35836,0.028338,0.28316,0.40827,0.023727
